b,z,y,n,operations,epoch_operations,epoch,first_operation,last_operation,workload,bucket_slots,metric,threshold,exceed_count,probability,log2_inverse,minimum,mean,maximum,path_schedule,deterministic_numerator,deterministic_denominator,rng_source,initialization
2,3,1,1048576,33554432,65536,1,65536,131072,cycle,3,insertion,1,30965,0.47248840332031250,1.081649174,1,1.606094360,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,1,65536,131072,cycle,3,insertion,2,6808,0.10388183593750000,3.266984678,1,1.606094360,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,1,65536,131072,cycle,3,insertion,3,1426,0.02175903320312500,5.522241734,1,1.606094360,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,1,65536,131072,cycle,3,insertion,4,373,0.00569152832031250,7.456968180,1,1.606094360,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,1,65536,131072,cycle,3,insertion,5,102,0.00155639648437500,9.327574658,1,1.606094360,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,1,65536,131072,cycle,3,insertion,6,34,0.00051879882812500,10.912537159,1,1.606094360,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,1,65536,131072,cycle,3,insertion,7,12,0.00018310546875000,12.415037499,1,1.606094360,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,1,65536,131072,cycle,3,insertion,8,1,0.00001525878906250,16.000000000,1,1.606094360,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,1,65536,131072,cycle,3,insertion,9,0,0.00000000000000000,inf,1,1.606094360,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,2,131072,196608,cycle,3,post,0,30533,0.46589660644531250,1.101918273,0,0.586502075,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,2,131072,196608,cycle,3,post,1,6282,0.09585571289062500,3.382991772,0,0.586502075,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,2,131072,196608,cycle,3,post,2,1181,0.01802062988281250,5.794206751,0,0.586502075,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,2,131072,196608,cycle,3,post,3,323,0.00492858886718750,7.664609645,0,0.586502075,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,2,131072,196608,cycle,3,post,4,92,0.00140380859375000,9.476438044,0,0.586502075,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,2,131072,196608,cycle,3,post,5,21,0.00032043457031250,11.607682577,0,0.586502075,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,2,131072,196608,cycle,3,post,6,5,0.00007629394531250,13.678071905,0,0.586502075,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,2,131072,196608,cycle,3,post,7,0,0.00000000000000000,inf,0,0.586502075,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,2,131072,196608,cycle,3,insertion,0,65536,1.00000000000000000,-0.000000000,1,1.586486816,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,2,131072,196608,cycle,3,insertion,1,30532,0.46588134765625000,1.101965524,1,1.586486816,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,2,131072,196608,cycle,3,insertion,2,6282,0.09585571289062500,3.382991772,1,1.586486816,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,2,131072,196608,cycle,3,insertion,3,1181,0.01802062988281250,5.794206751,1,1.586486816,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,2,131072,196608,cycle,3,insertion,4,323,0.00492858886718750,7.664609645,1,1.586486816,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,2,131072,196608,cycle,3,insertion,5,92,0.00140380859375000,9.476438044,1,1.586486816,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,2,131072,196608,cycle,3,insertion,6,21,0.00032043457031250,11.607682577,1,1.586486816,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,2,131072,196608,cycle,3,insertion,7,5,0.00007629394531250,13.678071905,1,1.586486816,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,2,131072,196608,cycle,3,insertion,8,0,0.00000000000000000,inf,1,1.586486816,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,3,196608,262144,cycle,3,post,0,30968,0.47253417968750000,1.081509408,0,0.596435547,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,3,196608,262144,cycle,3,post,1,6472,0.09875488281250000,3.340004108,0,0.596435547,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,3,196608,262144,cycle,3,post,2,1201,0.01832580566406250,5.769979564,0,0.596435547,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,3,196608,262144,cycle,3,post,3,324,0.00494384765625000,7.660149997,0,0.596435547,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,3,196608,262144,cycle,3,post,4,87,0.00132751464843750,9.557056504,0,0.596435547,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,3,196608,262144,cycle,3,post,5,27,0.00041198730468750,11.245112498,0,0.596435547,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,3,196608,262144,cycle,3,post,6,8,0.00012207031250000,13.000000000,0,0.596435547,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,3,196608,262144,cycle,3,post,7,1,0.00001525878906250,16.000000000,0,0.596435547,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,3,196608,262144,cycle,3,post,8,0,0.00000000000000000,inf,0,0.596435547,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,3,196608,262144,cycle,3,insertion,0,65536,1.00000000000000000,-0.000000000,1,1.596405029,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,3,196608,262144,cycle,3,insertion,1,30968,0.47253417968750000,1.081509408,1,1.596405029,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,3,196608,262144,cycle,3,insertion,2,6471,0.09873962402343750,3.340227038,1,1.596405029,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,3,196608,262144,cycle,3,insertion,3,1200,0.01831054687500000,5.771181310,1,1.596405029,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,3,196608,262144,cycle,3,insertion,4,324,0.00494384765625000,7.660149997,1,1.596405029,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,3,196608,262144,cycle,3,insertion,5,87,0.00132751464843750,9.557056504,1,1.596405029,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,3,196608,262144,cycle,3,insertion,6,27,0.00041198730468750,11.245112498,1,1.596405029,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,3,196608,262144,cycle,3,insertion,7,8,0.00012207031250000,13.000000000,1,1.596405029,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,3,196608,262144,cycle,3,insertion,8,1,0.00001525878906250,16.000000000,1,1.596405029,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,3,196608,262144,cycle,3,insertion,9,0,0.00000000000000000,inf,1,1.596405029,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,4,262144,327680,cycle,3,post,0,33332,0.50860595703125000,0.975379735,0,0.701583862,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,4,262144,327680,cycle,3,post,1,8671,0.13230895996093750,2.918017331,0,0.701583862,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,4,262144,327680,cycle,3,post,2,2456,0.03747558593750000,4.737905155,0,0.701583862,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,4,262144,327680,cycle,3,post,3,967,0.01475524902343750,6.082627921,0,0.701583862,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,4,262144,327680,cycle,3,post,4,376,0.00573730468750000,7.445411148,0,0.701583862,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,4,262144,327680,cycle,3,post,5,131,0.00199890136718750,8.966576998,0,0.701583862,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,4,262144,327680,cycle,3,post,6,40,0.00061035156250000,10.678071905,0,0.701583862,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,4,262144,327680,cycle,3,post,7,5,0.00007629394531250,13.678071905,0,0.701583862,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,4,262144,327680,cycle,3,post,8,1,0.00001525878906250,16.000000000,0,0.701583862,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,4,262144,327680,cycle,3,post,9,0,0.00000000000000000,inf,0,0.701583862,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
