b,z,y,n,operations,epoch_operations,epoch,first_operation,last_operation,workload,bucket_slots,metric,threshold,exceed_count,probability,log2_inverse,minimum,mean,maximum,path_schedule,deterministic_numerator,deterministic_denominator,rng_source,initialization
2,4,1,1048576,33554432,65536,0,0,65536,cycle,4,post,0,25042,0.38211059570312500,1.387937832,0,0.425521851,3,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,0,0,65536,cycle,4,post,1,2828,0.04315185546875000,4.534433595,0,0.425521851,3,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,0,0,65536,cycle,4,post,2,17,0.00025939941406250,11.912537159,0,0.425521851,3,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,0,0,65536,cycle,4,post,3,0,0.00000000000000000,inf,0,0.425521851,3,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,0,0,65536,cycle,4,insertion,0,65536,1.00000000000000000,-0.000000000,1,1.425537109,4,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,0,0,65536,cycle,4,insertion,1,25043,0.38212585449218750,1.387880222,1,1.425537109,4,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,0,0,65536,cycle,4,insertion,2,2828,0.04315185546875000,4.534433595,1,1.425537109,4,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,0,0,65536,cycle,4,insertion,3,17,0.00025939941406250,11.912537159,1,1.425537109,4,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,0,0,65536,cycle,4,insertion,4,0,0.00000000000000000,inf,1,1.425537109,4,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,1,65536,131072,cycle,4,post,0,25102,0.38302612304687500,1.384485305,0,0.428085327,4,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,1,65536,131072,cycle,4,post,1,2923,0.04460144042968750,4.486765886,0,0.428085327,4,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,1,65536,131072,cycle,4,post,2,29,0.00044250488281250,11.142019005,0,0.428085327,4,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,1,65536,131072,cycle,4,post,3,1,0.00001525878906250,16.000000000,0,0.428085327,4,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,1,65536,131072,cycle,4,post,4,0,0.00000000000000000,inf,0,0.428085327,4,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,1,65536,131072,cycle,4,insertion,0,65536,1.00000000000000000,-0.000000000,1,1.428085327,5,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,1,65536,131072,cycle,4,insertion,1,25102,0.38302612304687500,1.384485305,1,1.428085327,5,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,1,65536,131072,cycle,4,insertion,2,2923,0.04460144042968750,4.486765886,1,1.428085327,5,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,1,65536,131072,cycle,4,insertion,3,29,0.00044250488281250,11.142019005,1,1.428085327,5,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,1,65536,131072,cycle,4,insertion,4,1,0.00001525878906250,16.000000000,1,1.428085327,5,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,1,65536,131072,cycle,4,insertion,5,0,0.00000000000000000,inf,1,1.428085327,5,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,2,131072,196608,cycle,4,post,0,25210,0.38467407226562500,1.378291502,0,0.429763794,4,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,2,131072,196608,cycle,4,post,1,2927,0.04466247558593750,4.484792970,0,0.429763794,4,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,4,1,1048576,33554432,65536,2,131072,196608,cycle,4,post,2,26,0.00039672851562500,11.299560282,0,0.429763794,4,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
