b,z,y,n,operations,epoch_operations,epoch,first_operation,last_operation,workload,bucket_slots,metric,threshold,exceed_count,probability,log2_inverse,minimum,mean,maximum,path_schedule,deterministic_numerator,deterministic_denominator,rng_source,initialization
2,2,2,1048576,33554432,65536,0,0,65536,cycle,4,post,0,26933,0.41096496582031250,1.282912683,0,0.468582153,5,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,2,2,1048576,33554432,65536,0,0,65536,cycle,4,post,1,3558,0.05429077148437500,4.203149205,0,0.468582153,5,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,2,2,1048576,33554432,65536,0,0,65536,cycle,4,post,2,191,0.00291442871093750,8.422571172,0,0.468582153,5,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,2,2,1048576,33554432,65536,0,0,65536,cycle,4,post,3,24,0.00036621093750000,11.415037499,0,0.468582153,5,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,2,2,1048576,33554432,65536,0,0,65536,cycle,4,post,4,3,0.00004577636718750,14.415037499,0,0.468582153,5,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,2,2,1048576,33554432,65536,0,0,65536,cycle,4,post,5,0,0.00000000000000000,inf,0,0.468582153,5,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,2,2,1048576,33554432,65536,0,0,65536,cycle,4,insertion,0,65536,1.00000000000000000,-0.000000000,1,1.468582153,6,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,2,2,1048576,33554432,65536,0,0,65536,cycle,4,insertion,1,26933,0.41096496582031250,1.282912683,1,1.468582153,6,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,2,2,1048576,33554432,65536,0,0,65536,cycle,4,insertion,2,3558,0.05429077148437500,4.203149205,1,1.468582153,6,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,2,2,1048576,33554432,65536,0,0,65536,cycle,4,insertion,3,191,0.00291442871093750,8.422571172,1,1.468582153,6,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,2,2,1048576,33554432,65536,0,0,65536,cycle,4,insertion,4,24,0.00036621093750000,11.415037499,1,1.468582153,6,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,2,2,1048576,33554432,65536,0,0,65536,cycle,4,insertion,5,3,0.00004577636718750,14.415037499,1,1.468582153,6,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,2,2,1048576,33554432,65536,0,0,65536,cycle,4,insertion,6,0,0.00000000000000000,inf,1,1.468582153,6,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,2,2,1048576,33554432,65536,1,65536,131072,cycle,4,post,0,27044,0.41265869140625000,1.276979068,0,0.474746704,6,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,2,2,1048576,33554432,65536,1,65536,131072,cycle,4,post,1,3783,0.05772399902343750,4.114684939,0,0.474746704,6,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,2,2,1048576,33554432,65536,1,65536,131072,cycle,4,post,2,219,0.00334167480468750,8.225212940,0,0.474746704,6,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
