dataset,x,load_percent,metric,source,minimum_bits,minimum_count,epoch,points,fit_min_bits,fit_max_bits,intercept,slope_blocks_per_bit,residual_blocks,r_squared,estimate_at_2^-96
control,8,100,post,full-window,6.000000000,32,,12,6.897847428,20.642447995,1.093478772,0.812581501,0.194553811,0.997353064,79.101302832
control,8,100,post,full-window,6.000000000,64,,12,6.897847428,20.642447995,1.093478772,0.812581501,0.194553811,0.997353064,79.101302832
control,8,100,post,full-window,6.000000000,256,,10,6.897847428,18.157649657,1.290889309,0.794615502,0.182736893,0.996761913,77.573977474
control,8,100,post,full-window,6.000000000,1024,,8,6.897847428,16.038550306,1.641327063,0.760210648,0.105590545,0.998407234,74.621549253
control,8,100,post,full-window,8.000000000,32,,11,8.331845604,20.642447995,0.851082616,0.827220238,0.164992462,0.997772704,80.264225446
control,8,100,post,full-window,8.000000000,64,,11,8.331845604,20.642447995,0.851082616,0.827220238,0.164992462,0.997772704,80.264225446
control,8,100,post,full-window,8.000000000,256,,9,8.331845604,18.157649657,1.041572845,0.811196034,0.162307304,0.996926573,78.916392088
control,8,100,post,full-window,8.000000000,1024,,7,8.331845604,16.038550306,1.460155738,0.773571050,0.093252995,0.998447121,75.722976493
control,8,100,post,full-window,10.000000000,32,,9,11.110662409,20.642447995,0.313922583,0.858465558,0.104939468,0.998715233,82.726616156
control,8,100,post,full-window,10.000000000,64,,9,11.110662409,20.642447995,0.313922583,0.858465558,0.104939468,0.998715233,82.726616156
control,8,100,post,full-window,10.000000000,256,,7,11.110662409,18.157649657,0.391424585,0.852651944,0.114226088,0.997670072,82.246011164
control,8,100,post,full-window,10.000000000,1024,,5,11.110662409,16.038550306,0.962355145,0.808534551,0.067575343,0.998630072,78.581672086
control,8,100,post,full-window,12.000000000,32,,8,12.442955191,20.642447995,0.053670954,0.873076356,0.082368728,0.999030770,83.869001086
control,8,100,post,full-window,12.000000000,64,,8,12.442955191,20.642447995,0.053670954,0.873076356,0.082368728,0.999030770,83.869001086
control,8,100,post,full-window,12.000000000,256,,6,12.442955191,18.157649657,-0.024935483,0.878226284,0.085359877,0.998334558,84.284787808
control,8,100,post,full-window,12.000000000,1024,,4,12.442955191,16.038550306,0.606964912,0.832460286,0.054266068,0.998822078,80.523152391
control,8,100,post,epoch,6,32,0,9,6.907160290,18.272079545,2.035093418,0.720341025,0.112720539,0.998517643,71.187831811
control,8,100,post,epoch,6,32,1,8,6.955360415,18.790546634,3.066358117,0.586746033,0.101462062,0.998529350,59.393977306
control,8,100,post,epoch,6,32,2,9,6.868183222,17.752072487,1.852631779,0.744916064,0.054423819,0.999654439,73.364573969
control,8,100,post,epoch,6,32,3,12,6.872348182,17.810175441,-0.946024036,1.053173897,0.440454135,0.986433577,100.158670035
control,8,100,post,epoch,6,32,4,10,6.952194446,18.714597781,1.270349056,0.782885786,0.256097353,0.993640160,76.427384501
control,8,100,post,epoch,6,32,5,10,6.882245308,18.218640286,1.266856171,0.805998207,0.111514204,0.998794141,78.642684082
control,8,100,post,epoch,6,32,6,8,6.812628594,17.540568381,2.657197266,0.657517477,0.132748078,0.997482564,65.778875011
control,8,100,post,epoch,6,32,7,8,6.938586614,17.327574658,2.326775176,0.682170752,0.095096825,0.998708085,67.815167334
control,8,100,insertion,full-window,6.000000000,32,,12,6.897847428,20.642447995,2.093478772,0.812581501,0.194553811,0.997353064,80.101302832
control,8,100,insertion,full-window,6.000000000,64,,12,6.897847428,20.642447995,2.093478772,0.812581501,0.194553811,0.997353064,80.101302832
control,8,100,insertion,full-window,6.000000000,256,,10,6.897847428,18.157649657,2.290889309,0.794615502,0.182736893,0.996761913,78.573977474
control,8,100,insertion,full-window,6.000000000,1024,,8,6.897847428,16.038550306,2.641327063,0.760210648,0.105590545,0.998407234,75.621549253
control,8,100,insertion,full-window,8.000000000,32,,11,8.331845604,20.642447995,1.851082616,0.827220238,0.164992462,0.997772704,81.264225446
control,8,100,insertion,full-window,8.000000000,64,,11,8.331845604,20.642447995,1.851082616,0.827220238,0.164992462,0.997772704,81.264225446
control,8,100,insertion,full-window,8.000000000,256,,9,8.331845604,18.157649657,2.041572845,0.811196034,0.162307304,0.996926573,79.916392088
control,8,100,insertion,full-window,8.000000000,1024,,7,8.331845604,16.038550306,2.460155738,0.773571050,0.093252995,0.998447121,76.722976493
control,8,100,insertion,full-window,10.000000000,32,,9,11.110662409,20.642447995,1.313922583,0.858465558,0.104939468,0.998715233,83.726616156
control,8,100,insertion,full-window,10.000000000,64,,9,11.110662409,20.642447995,1.313922583,0.858465558,0.104939468,0.998715233,83.726616156
control,8,100,insertion,full-window,10.000000000,256,,7,11.110662409,18.157649657,1.391424585,0.852651944,0.114226088,0.997670072,83.246011164
control,8,100,insertion,full-window,10.000000000,1024,,5,11.110662409,16.038550306,1.962355145,0.808534551,0.067575343,0.998630072,79.581672086
control,8,100,insertion,full-window,12.000000000,32,,8,12.442955191,20.642447995,1.053670954,0.873076356,0.082368728,0.999030770,84.869001086
control,8,100,insertion,full-window,12.000000000,64,,8,12.442955191,20.642447995,1.053670954,0.873076356,0.082368728,0.999030770,84.869001086
control,8,100,insertion,full-window,12.000000000,256,,6,12.442955191,18.157649657,0.975064517,0.878226284,0.085359877,0.998334558,85.284787808
control,8,100,insertion,full-window,12.000000000,1024,,4,12.442955191,16.038550306,1.606964912,0.832460286,0.054266068,0.998822078,81.523152391
control,8,100,insertion,epoch,6,32,0,9,6.907160290,18.272079545,3.035093418,0.720341025,0.112720539,0.998517643,72.187831811
control,8,100,insertion,epoch,6,32,1,8,6.955360415,18.790546634,4.066358117,0.586746033,0.101462062,0.998529350,60.393977306
control,8,100,insertion,epoch,6,32,2,9,6.868183222,17.752072487,2.852631779,0.744916064,0.054423819,0.999654439,74.364573969
control,8,100,insertion,epoch,6,32,3,12,6.872348182,17.810175441,0.053975964,1.053173897,0.440454135,0.986433577,101.158670035
control,8,100,insertion,epoch,6,32,4,10,6.952194446,18.714597781,2.270349056,0.782885786,0.256097353,0.993640160,77.427384501
control,8,100,insertion,epoch,6,32,5,10,6.882245308,18.218640286,2.266856171,0.805998207,0.111514204,0.998794141,79.642684082
control,8,100,insertion,epoch,6,32,6,8,6.812628594,17.540568381,3.657197266,0.657517477,0.132748078,0.997482564,66.778875011
control,8,100,insertion,epoch,6,32,7,8,6.938586614,17.327574658,3.326775176,0.682170752,0.095096825,0.998708085,68.815167334
primary,8,105,post,full-window,6.000000000,32,,9,6.775772169,18.245112498,2.260150230,0.711115412,0.120991422,0.998292125,70.527229754
primary,8,105,post,full-window,6.000000000,64,,9,6.775772169,18.245112498,2.260150230,0.711115412,0.120991422,0.998292125,70.527229754
primary,8,105,post,full-window,6.000000000,256,,8,6.775772169,16.430144392,2.058543787,0.731115667,0.039091155,0.999781697,72.245647855
primary,8,105,post,full-window,6.000000000,1024,,7,6.775772169,14.917850959,1.984993850,0.738828945,0.008664402,0.999986594,72.912572584
primary,8,105,post,full-window,8.000000000,32,,8,8.151609345,18.245112498,2.345010129,0.705333549,0.124313323,0.997792314,70.057030798
primary,8,105,post,full-window,8.000000000,64,,8,8.151609345,18.245112498,2.345010129,0.705333549,0.124313323,0.997792314,70.057030798
primary,8,105,post,full-window,8.000000000,256,,7,8.151609345,16.430144392,2.076068451,0.729827516,0.042202616,0.999681953,72.139509987
primary,8,105,post,full-window,8.000000000,1024,,6,8.151609345,14.917850959,1.968309101,0.740148151,0.007549603,0.999986972,73.022531597
primary,8,105,post,full-window,10.000000000,32,,6,10.852636057,18.245112498,2.686343567,0.683235505,0.122162941,0.996588849,68.276952065
primary,8,105,post,full-window,10.000000000,64,,6,10.852636057,18.245112498,2.686343567,0.683235505,0.122162941,0.996588849,68.276952065
