configuration,n,warmup,operations,seed,post_mean,post_min,post_max,insertion_mean,insertion_min,insertion_max,capacity_for_2^-1,capacity_for_2^-4,capacity_for_2^-8,capacity_for_2^-12,capacity_for_2^-16,capacity_for_2^-20,capacity_for_2^-24
"B=2, Z=3",4096,16777216,134217728,1,1886.088421,1534,2341,1886.629588,1535,2342,1883,2023,2145,2250,2311,2334,2341
"B=4, Z=5",4096,16777216,134217728,1,2863.420163,2604,3227,2863.722173,2605,3228,2862,2963,3046,3106,3178,3216,3227
"B=4, Z=6",4096,16777216,134217728,1,2616.984457,2291,2993,2617.346849,2291,2993,2616,2726,2813,2884,2957,2986,2992
"B=8, Z=10",4096,16777216,134217728,1,3040.625792,2779,3304,3040.884484,2779,3304,3040,3129,3197,3246,3284,3299,3303
"B=8, Z=9",4096,16777216,134217728,1,3146.250153,2901,3403,3146.482979,2901,3404,3146,3229,3295,3344,3379,3395,3402
