gap,load_percent,operations,warmup,pre_batch_samples,pre_batch_mean,pre_batch_maximum,r_at_10_bits,last_confident_bits,last_confident_threshold,last_confident_exceedances,endpoint_slope,endpoint_r_at_96,rounded_r_at_96
4,60,33554432,16777216,8388608,6.324397921562195,19,11.395273481092199,15.400087157812873,14.0,194,0.4823489774862745,52.8772855449118,53
4,70,33554432,16777216,8388608,6.322035193443298,17,11.337056197772936,15.742612157307349,14.0,153,0.4637164637417705,51.2166720795652,52
4,80,33554432,16777216,8388608,6.322679758071899,18,11.34452813007257,15.557056504151271,14.0,174,0.4778558339192198,52.44012984712547,53
4,90,33554432,16777216,8388608,6.3243995904922485,17,11.352884485565708,15.912537158749661,14.0,136,0.447712283806447,49.85614089292015,50
5,60,33554432,16777216,6710886,8.330574234162226,25,15.256386402689461,16.108216210790363,19.0,95,0.6128816446767753,67.96420784489214,68
5,70,33554432,16777216,6710887,8.324688524780703,23,15.180354461249571,15.820091038972048,19.0,116,0.6562862184068274,71.62096924423673,72
5,80,33554432,16777216,6710886,8.32906549150142,25,15.259098723367638,15.338221816236684,19.0,162,0.7007766641045288,75.52589183635712,76
5,90,33554432,16777216,6710887,8.332800567197749,23,15.235876777051383,15.807707314516216,19.0,117,0.6481255027332882,70.97467001211417,71
