b,z,n,warmup,operations,seed,workload,metric,threshold,exceed_count,probability,log2_inverse
4,5,64,8388608,4194304,11,cycle,post,0,4194230,0.99998235702514648,0.000025454
4,5,64,8388608,4194304,11,cycle,post,1,4194142,0.99996137619018555,0.000055723
4,5,64,8388608,4194304,11,cycle,post,2,4193968,0.99991989135742188,0.000115577
4,5,64,8388608,4194304,11,cycle,post,3,4193593,0.99983048439025879,0.000244580
4,5,64,8388608,4194304,11,cycle,post,4,4192895,0.99966406822204590,0.000484729
4,5,64,8388608,4194304,11,cycle,post,5,4191616,0.99935913085937500,0.000924875
4,5,64,8388608,4194304,11,cycle,post,6,4189310,0.99880933761596680,0.001718786
4,5,64,8388608,4194304,11,cycle,post,7,4185370,0.99786996841430664,0.003076263
4,5,64,8388608,4194304,11,cycle,post,8,4179100,0.99637508392333984,0.005239150
4,5,64,8388608,4194304,11,cycle,post,9,4168905,0.99394440650939941,0.008762934
4,5,64,8388608,4194304,11,cycle,post,10,4153512,0.99027442932128906,0.014099708
4,5,64,8388608,4194304,11,cycle,post,11,4130743,0.98484587669372559,0.022030127
4,5,64,8388608,4194304,11,cycle,post,12,4098300,0.97711086273193359,0.033405836
4,5,64,8388608,4194304,11,cycle,post,13,4052623,0.96622061729431152,0.049575457
4,5,64,8388608,4194304,11,cycle,post,14,3990995,0.95152735710144043,0.071682959
4,5,64,8388608,4194304,11,cycle,post,15,3910337,0.93229699134826660,0.101138484
4,5,64,8388608,4194304,11,cycle,post,16,3806709,0.90759015083312988,0.139887142
4,5,64,8388608,4194304,11,cycle,post,17,3678817,0.87709832191467285,0.189189518
4,5,64,8388608,4194304,11,cycle,post,18,3523729,0.84012246131896973,0.251328456
4,5,64,8388608,4194304,11,cycle,post,19,3341812,0.79675006866455078,0.327800857
4,5,64,8388608,4194304,11,cycle,post,20,3133536,0.74709320068359375,0.420639863
4,5,64,8388608,4194304,11,cycle,post,21,2901762,0.69183397293090820,0.531502235
4,5,64,8388608,4194304,11,cycle,post,22,2649696,0.63173675537109375,0.662604582
4,5,64,8388608,4194304,11,cycle,post,23,2383323,0.56822848320007324,0.815456945
4,5,64,8388608,4194304,11,cycle,post,24,2109629,0.50297474861145020,0.991442122
4,5,64,8388608,4194304,11,cycle,post,25,1833813,0.43721508979797363,1.193584901
4,5,64,8388608,4194304,11,cycle,post,26,1562797,0.37259984016418457,1.424301039
4,5,64,8388608,4194304,11,cycle,post,27,1306804,0.31156635284423828,1.682388655
4,5,64,8388608,4194304,11,cycle,post,28,1069235,0.25492548942565918,1.971852462
4,5,64,8388608,4194304,11,cycle,post,29,856439,0.20419096946716309,2.292009032
4,5,64,8388608,4194304,11,cycle,post,30,670804,0.15993213653564453,2.644468234
4,5,64,8388608,4194304,11,cycle,post,31,513164,0.12234783172607422,3.030939561
4,5,64,8388608,4194304,11,cycle,post,32,382777,0.09126114845275879,3.453855381
4,5,64,8388608,4194304,11,cycle,post,33,278574,0.06641721725463867,3.912298912
4,5,64,8388608,4194304,11,cycle,post,34,197313,0.04704308509826660,4.409873514
4,5,64,8388608,4194304,11,cycle,post,35,135730,0.03236055374145508,4.949619895
4,5,64,8388608,4194304,11,cycle,post,36,91089,0.02171730995178223,5.525010777
4,5,64,8388608,4194304,11,cycle,post,37,59398,0.01416158676147461,6.141873266
4,5,64,8388608,4194304,11,cycle,post,38,37791,0.00901007652282715,6.794244926
4,5,64,8388608,4194304,11,cycle,post,39,23259,0.00554537773132324,7.494498550
4,5,64,8388608,4194304,11,cycle,post,40,13898,0.00331354141235352,8.237410334
4,5,64,8388608,4194304,11,cycle,post,41,8009,0.00190949440002441,9.032593596
4,5,64,8388608,4194304,11,cycle,post,42,4462,0.00106382369995117,9.876525202
4,5,64,8388608,4194304,11,cycle,post,43,2412,0.00057506561279297,10.763985808
4,5,64,8388608,4194304,11,cycle,post,44,1315,0.00031352043151855,11.639152916
4,5,64,8388608,4194304,11,cycle,post,45,689,0.00016427040100098,12.571639827
4,5,64,8388608,4194304,11,cycle,post,46,370,0.00008821487426758,13.468618539
4,5,64,8388608,4194304,11,cycle,post,47,164,0.00003910064697266,14.642447995
4,5,64,8388608,4194304,11,cycle,post,48,75,0.00001788139343262,15.771181310
4,5,64,8388608,4194304,11,cycle,post,49,31,0.00000739097595215,17.045803690
4,5,64,8388608,4194304,11,cycle,post,50,2,0.00000047683715820,21.000000000
4,5,64,8388608,4194304,11,cycle,post,51,0,0.00000000000000000,inf
4,5,64,8388608,4194304,11,cycle,insertion,0,4194304,1.00000000000000000,-0.000000000
4,5,64,8388608,4194304,11,cycle,insertion,1,4194227,0.99998164176940918,0.000026486
4,5,64,8388608,4194304,11,cycle,insertion,2,4194131,0.99995875358581543,0.000059507
4,5,64,8388608,4194304,11,cycle,insertion,3,4193927,0.99991011619567871,0.000129681
4,5,64,8388608,4194304,11,cycle,insertion,4,4193515,0.99981188774108887,0.000271414
4,5,64,8388608,4194304,11,cycle,insertion,5,4192734,0.99962568283081055,0.000540127
4,5,64,8388608,4194304,11,cycle,insertion,6,4191293,0.99928212165832520,0.001036051
4,5,64,8388608,4194304,11,cycle,insertion,7,4188672,0.99865722656250000,0.001938514
4,5,64,8388608,4194304,11,cycle,insertion,8,4184328,0.99762153625488281,0.003435485
4,5,64,8388608,4194304,11,cycle,insertion,9,4177203,0.99592280387878418,0.005894175
4,5,64,8388608,4194304,11,cycle,insertion,10,4165934,0.99323606491088867,0.009791447
4,5,64,8388608,4194304,11,cycle,insertion,11,4148888,0.98917198181152344,0.015706719
4,5,64,8388608,4194304,11,cycle,insertion,12,4124004,0.98323917388916016,0.024385699
4,5,64,8388608,4194304,11,cycle,insertion,13,4088020,0.97465991973876953,0.037029176
4,5,64,8388608,4194304,11,cycle,insertion,14,4038155,0.96277117729187012,0.054735143
4,5,64,8388608,4194304,11,cycle,insertion,15,3971144,0.94679450988769531,0.078876754
4,5,64,8388608,4194304,11,cycle,insertion,16,3884131,0.92604899406433105,0.110839571
4,5,64,8388608,4194304,11,cycle,insertion,17,3773015,0.89955687522888184,0.152713595
4,5,64,8388608,4194304,11,cycle,insertion,18,3636268,0.86695384979248047,0.205972898
4,5,64,8388608,4194304,11,cycle,insertion,19,3472424,0.82789039611816406,0.272488312
