b,z,n,warmup,operations,workload,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,path_schedule,deterministic_numerator,deterministic_denominator
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,31,6625,0.00631809234619141,7.306295261,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,32,6300,0.00600814819335938,7.378863887,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,33,6029,0.00574970245361328,7.442296986,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,34,5770,0.00550270080566406,7.505644396,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,35,5518,0.00526237487792969,7.570070259,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,36,5271,0.00502681732177734,7.636139023,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,37,5027,0.00479412078857422,7.704518026,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,38,4757,0.00453662872314453,7.784163690,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,39,4553,0.00434207916259766,7.847398256,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,40,4352,0.00415039062500000,7.912537159,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,41,4197,0.00400257110595703,7.964857252,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,42,4053,0.00386524200439453,8.015225540,legacy-root-lane,access-plus-rate-deterministic,2,3
