load_percent,gap,replicates,operations_per_replicate,total_operations,metric,samples,threshold,exceed_count,probability,log2_inverse
120,5,4,1073741824,4294967296,post,4294967296,0,4294275653,0.999838964315,0.000232344092313
120,5,4,1073741824,4294967296,post,4294967296,1,4284301853,0.997516758041,0.00358701641933
120,5,4,1073741824,4294967296,post,4294967296,2,4226216684,0.983992750756,0.0232804078658
120,5,4,1073741824,4294967296,post,4294967296,3,4036903351,0.939914805582,0.0893980988788
120,5,4,1073741824,4294967296,post,4294967296,4,3631696118,0.845570144709,0.242003655774
120,5,4,1073741824,4294967296,post,4294967296,5,3003055926,0.699203444179,0.516215803516
120,5,4,1073741824,4294967296,post,4294967296,6,2251458771,0.524208594812,0.931787086908
120,5,4,1073741824,4294967296,post,4294967296,7,1531346159,0.356544311857,1.48784670679
120,5,4,1073741824,4294967296,post,4294967296,8,959376706,0.223372295965,2.16247783007
120,5,4,1073741824,4294967296,post,4294967296,9,567710177,0.13218032592,2.91942063673
120,5,4,1073741824,4294967296,post,4294967296,10,325992999,0.0759011597838,3.71973425932
120,5,4,1073741824,4294967296,post,4294967296,11,185592522,0.0432116263546,4.53243665916
120,5,4,1073741824,4294967296,post,4294967296,12,106037898,0.024688872043,5.33999526399
120,5,4,1073741824,4294967296,post,4294967296,13,61070210,0.0142190163024,6.13603452965
120,5,4,1073741824,4294967296,post,4294967296,14,35439775,0.0082514656242,6.92113389125
120,5,4,1073741824,4294967296,post,4294967296,15,20666731,0.00481184828095,7.69919313005
120,5,4,1073741824,4294967296,post,4294967296,16,12084946,0.0028137457557,8.47329230916
120,5,4,1073741824,4294967296,post,4294967296,17,7072637,0.00164672662504,9.24618321316
120,5,4,1073741824,4294967296,post,4294967296,18,4138619,0.000963597325608,10.0192819901
120,5,4,1073741824,4294967296,post,4294967296,19,2423069,0.000564164714888,10.7915959427
120,5,4,1073741824,4294967296,post,4294967296,20,1416216,0.000329738482833,11.5663901099
120,5,4,1073741824,4294967296,post,4294967296,21,827536,0.000192675739527,12.3415374512
120,5,4,1073741824,4294967296,post,4294967296,22,482417,0.00011232146062,13.120078778
120,5,4,1073741824,4294967296,post,4294967296,23,279309,6.50316942483e-05,13.9084974641
120,5,4,1073741824,4294967296,post,4294967296,24,160548,3.73804941773e-05,14.7073548325
120,5,4,1073741824,4294967296,post,4294967296,25,91099,2.12106388062e-05,15.5248524029
120,5,4,1073741824,4294967296,post,4294967296,26,51119,1.19020696729e-05,16.3584280062
120,5,4,1073741824,4294967296,post,4294967296,27,28218,6.57001510262e-06,17.2156718824
120,5,4,1073741824,4294967296,post,4294967296,28,15325,3.568129614e-06,18.0964005465
120,5,4,1073741824,4294967296,post,4294967296,29,8102,1.88639387488e-06,19.0159376303
120,5,4,1073741824,4294967296,post,4294967296,30,4153,9.66945663095e-07,19.9800618436
120,5,4,1073741824,4294967296,post,4294967296,31,2035,4.73810359836e-07,21.0091869208
120,5,4,1073741824,4294967296,post,4294967296,32,935,2.17696651816e-07,22.1311774452
120,5,4,1073741824,4294967296,post,4294967296,33,412,9.59262251854e-08,23.3134994728
120,5,4,1073741824,4294967296,post,4294967296,34,172,4.00468707085e-08,24.5737352453
120,5,4,1073741824,4294967296,post,4294967296,35,73,1.69966369867e-08,25.8101754411
120,5,4,1073741824,4294967296,post,4294967296,36,32,7.45058059692e-09,27
120,5,4,1073741824,4294967296,post,4294967296,37,15,3.49245965481e-09,28.0931094044
120,5,4,1073741824,4294967296,post,4294967296,38,9,2.09547579288e-09,28.8300749986
120,5,4,1073741824,4294967296,post,4294967296,39,4,9.31322574615e-10,30
120,5,4,1073741824,4294967296,post,4294967296,40,0,0,inf
120,5,4,1073741824,4294967296,insertion,4294967296,0,4294967296,1,-0
120,5,4,1073741824,4294967296,insertion,4294967296,1,4294275653,0.999838964315,0.000232344092313
120,5,4,1073741824,4294967296,insertion,4294967296,2,4284301853,0.997516758041,0.00358701641933
120,5,4,1073741824,4294967296,insertion,4294967296,3,4226216684,0.983992750756,0.0232804078658
120,5,4,1073741824,4294967296,insertion,4294967296,4,4036903351,0.939914805582,0.0893980988788
120,5,4,1073741824,4294967296,insertion,4294967296,5,3631696118,0.845570144709,0.242003655774
120,5,4,1073741824,4294967296,insertion,4294967296,6,3003055924,0.699203443713,0.516215804477
120,5,4,1073741824,4294967296,insertion,4294967296,7,2251458768,0.524208594114,0.93178708883
120,5,4,1073741824,4294967296,insertion,4294967296,8,1531346157,0.356544311391,1.48784670868
120,5,4,1073741824,4294967296,insertion,4294967296,9,959376705,0.223372295732,2.16247783158
120,5,4,1073741824,4294967296,insertion,4294967296,10,567710176,0.132180325687,2.91942063927
