load_percent,metric,mean_min,mean_max,mean_sd,maximum_min,maximum_max,ks_vs_combined_max
110,post,6.41212733928,6.41590095777,0.00147486279297,29,29,0.000315250596032
110,insertion,7.41212734208,7.41590095684,0.00147486151191,30,30,0.000315249664709
110,pre_batch,8.37959933711,8.38339399697,0.00148731096811,29,30,0.000348640605483
120,post,6.87560905889,6.88632043079,0.00459770773916,35,40,0.000797532964498
120,insertion,7.87560905609,7.88632042985,0.00459770693138,36,41,0.000797533197328
120,pre_batch,8.84473507866,8.8554770091,0.00460404586149,36,41,0.000836137914251
