load_percent,gap,replicates,operations_per_replicate,total_operations,metric,samples,threshold,exceed_count,probability,log2_inverse
110,5,4,1073741824,4294967296,pre_batch,858993460,0,858993460,1,-0
110,5,4,1073741824,4294967296,pre_batch,858993460,1,858992895,0.999999342253,9.48928023396e-07
110,5,4,1073741824,4294967296,pre_batch,858993460,2,858953489,0.999953467632,6.7133578861e-05
110,5,4,1073741824,4294967296,pre_batch,858993460,3,858107415,0.998968507863,0.00148889661589
110,5,4,1073741824,4294967296,pre_batch,858993460,4,850514175,0.990128813088,0.0143118667517
110,5,4,1073741824,4294967296,pre_batch,858993460,5,815714517,0.94961667927,0.0745828198812
110,5,4,1073741824,4294967296,pre_batch,858993460,6,723069751,0.841763976876,0.248512323738
110,5,4,1073741824,4294967296,pre_batch,858993460,7,565622854,0.658471665198,0.602806733917
110,5,4,1073741824,4294967296,pre_batch,858993460,8,381226484,0.443806037825,1.17199879986
110,5,4,1073741824,4294967296,pre_batch,858993460,9,221990534,0.258430994341,1.95214898809
110,5,4,1073741824,4294967296,pre_batch,858993460,10,114026812,0.132744680035,2.91327405111
110,5,4,1073741824,4294967296,pre_batch,858993460,11,53141246,0.0618645524961,4.01474318722
110,5,4,1073741824,4294967296,pre_batch,858993460,12,23128922,0.0269256089563,5.21487721628
110,5,4,1073741824,4294967296,pre_batch,858993460,13,9649686,0.0112337130017,6.47602133917
110,5,4,1073741824,4294967296,pre_batch,858993460,14,3943844,0.00459123868068,7.76690085055
110,5,4,1073741824,4294967296,pre_batch,858993460,15,1602843,0.00186595483509,9.06587021807
110,5,4,1073741824,4294967296,pre_batch,858993460,16,656414,0.000764166469905,10.353825423
110,5,4,1073741824,4294967296,pre_batch,858993460,17,273072,0.000317897647323,11.61915004
110,5,4,1073741824,4294967296,pre_batch,858993460,18,115043,0.000133927678565,12.8662582292
110,5,4,1073741824,4294967296,pre_batch,858993460,19,49427,5.75406010658e-05,14.085060183
110,5,4,1073741824,4294967296,pre_batch,858993460,20,21757,2.53284815463e-05,15.268879885
110,5,4,1073741824,4294967296,pre_batch,858993460,21,9684,1.12736597552e-05,16.4366845425
110,5,4,1073741824,4294967296,pre_batch,858993460,22,4323,5.03263435789e-06,17.6002547856
110,5,4,1073741824,4294967296,pre_batch,858993460,23,1928,2.24448740273e-06,18.7651825702
110,5,4,1073741824,4294967296,pre_batch,858993460,24,816,9.49949025223e-07,20.0056465645
110,5,4,1073741824,4294967296,pre_batch,858993460,25,356,4.14438545318e-07,21.2023384755
110,5,4,1073741824,4294967296,pre_batch,858993460,26,143,1.66473910057e-07,22.5182005697
110,5,4,1073741824,4294967296,pre_batch,858993460,27,50,5.82076608593e-08,24.0342157167
110,5,4,1073741824,4294967296,pre_batch,858993460,28,20,2.32830643437e-08,25.3561438116
110,5,4,1073741824,4294967296,pre_batch,858993460,29,3,3.49245965156e-09,28.0931094057
110,5,4,1073741824,4294967296,pre_batch,858993460,30,0,0,inf
