b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,post,0,739055,0.70481777191162109,0.504677793
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,post,1,274613,0.26189136505126953,1.932959602
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,post,2,98564,0.09399795532226562,3.411226815
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,post,3,35168,0.03353881835937500,4.898024329
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,post,4,12642,0.01205635070800781,6.374062900
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,post,5,4536,0.00432586669921875,7.852795075
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,post,6,1568,0.00149536132812500,9.385290156
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,post,7,526,0.00050163269042969,10.961081011
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,post,8,160,0.00015258789062500,12.678071905
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,post,9,55,0.00005245208740234,14.218640286
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,post,10,20,0.00001907348632812,15.678071905
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,post,11,5,0.00000476837158203,17.678071905
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,post,12,1,0.00000095367431641,20.000000000
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,post,13,0,0.00000000000000000,inf
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,insertion,0,1048576,1.00000000000000000,-0.000000000
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,insertion,1,739054,0.70481681823730469,0.504679745
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,insertion,2,274613,0.26189136505126953,1.932959602
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,insertion,3,98564,0.09399795532226562,3.411226815
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,insertion,4,35168,0.03353881835937500,4.898024329
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,insertion,5,12642,0.01205635070800781,6.374062900
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,insertion,6,4536,0.00432586669921875,7.852795075
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,insertion,7,1568,0.00149536132812500,9.385290156
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,insertion,8,526,0.00050163269042969,10.961081011
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,insertion,9,160,0.00015258789062500,12.678071905
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,insertion,10,55,0.00005245208740234,14.218640286
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,insertion,11,20,0.00001907348632812,15.678071905
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,insertion,12,5,0.00000476837158203,17.678071905
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,insertion,13,1,0.00000095367431641,20.000000000
2,3,3,1024,2097152,1048576,cycle,9,shared,os-getrandom,random-old-and-new-paths,insertion,14,0,0.00000000000000000,inf
