b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,0,3374726,0.80459737777709961,0.313661059
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,1,1797428,0.42854022979736328,1.222497449
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,2,926065,0.22079110145568848,2.179246067
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,3,487496,0.11622810363769531,3.104969144
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,4,262511,0.06258749961853027,3.997981648
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,5,145073,0.03458809852600098,4.853580486
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,6,81839,0.01951193809509277,5.679499104
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,7,47170,0.01124620437622070,6.474418020
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,8,27102,0.00646162033081055,7.273888301
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,9,15589,0.00371670722961426,8.071759235
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,10,8902,0.00212240219116211,8.880086215
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,11,5223,0.00124526023864746,9.649337012
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,12,3001,0.00071549415588379,10.448772396
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,13,1744,0.00041580200195312,11.231815675
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,14,1004,0.00023937225341797,12.028456446
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,15,583,0.00013899803161621,12.812647927
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,16,366,0.00008726119995117,13.484300162
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,17,241,0.00005745887756348,14.087110664
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,18,158,0.00003767013549805,14.696219252
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,19,101,0.00002408027648926,15.341788517
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,20,58,0.00001382827758789,16.142019005
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,21,28,0.00000667572021484,17.192645078
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,22,14,0.00000333786010742,18.192645078
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,23,1,0.00000023841857910,22.000000000
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,24,0,0.00000000000000000,inf
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,0,4194304,1.00000000000000000,-0.000000000
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,1,3374726,0.80459737777709961,0.313661059
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,2,1797428,0.42854022979736328,1.222497449
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,3,926065,0.22079110145568848,2.179246067
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,4,487496,0.11622810363769531,3.104969144
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,5,262511,0.06258749961853027,3.997981648
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,6,145073,0.03458809852600098,4.853580486
2,3,2,1048576,4194304,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,7,81839,0.01951193809509277,5.679499104
