b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,0,4116291,0.98140025138854980,0.027086454
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,1,3639689,0.86776947975158691,0.204616249
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,2,2694902,0.64251470565795898,0.638198620
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,3,1719662,0.40999937057495117,1.286306400
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,4,997854,0.23790693283081055,2.071530781
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,5,547317,0.13049054145812988,2.937982857
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,6,290312,0.06921577453613281,3.852755319
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,7,150575,0.03589987754821777,4.799877267
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,8,77691,0.01852297782897949,5.754540139
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,9,40125,0.00956654548645020,6.707786228
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,10,20563,0.00490260124206543,7.672236861
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,11,10563,0.00251841545104980,8.633267987
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,12,5499,0.00131106376647949,9.575046429
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,13,2923,0.00069689750671387,10.486765886
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,14,1615,0.00038504600524902,11.342681550
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,15,911,0.00021719932556152,12.168692756
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,16,522,0.00012445449829102,12.972094003
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,17,302,0.00007200241088867,13.761595261
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,18,171,0.00004076957702637,14.582147485
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,19,90,0.00002145767211914,15.508146904
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,20,31,0.00000739097595215,17.045803690
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,21,11,0.00000262260437012,18.540568381
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,22,4,0.00000095367431641,20.000000000
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,23,3,0.00000071525573730,20.415037499
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,24,0,0.00000000000000000,inf
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,0,4194304,1.00000000000000000,-0.000000000
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,1,4116291,0.98140025138854980,0.027086454
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,2,3639689,0.86776947975158691,0.204616249
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,3,2694902,0.64251470565795898,0.638198620
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,4,1719663,0.40999960899353027,1.286305561
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,5,997854,0.23790693283081055,2.071530781
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,6,547317,0.13049054145812988,2.937982857
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,7,290312,0.06921577453613281,3.852755319
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,8,150575,0.03589987754821777,4.799877267
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,9,77691,0.01852297782897949,5.754540139
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,10,40125,0.00956654548645020,6.707786228
4,5,3,1048576,4194304,4194304,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,11,20563,0.00490260124206543,7.672236861
