b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,0,971059,0.92607402801513672,0.110800571
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,1,737089,0.70294284820556641,0.508520697
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,2,532232,0.50757598876953125,0.978304272
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,3,385378,0.36752510070800781,1.444085310
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,4,281317,0.26828479766845703,1.898162788
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,5,207455,0.19784450531005859,2.337561097
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,6,154239,0.14709377288818359,2.765191922
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,7,114996,0.10966873168945312,3.188775846
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,8,86389,0.08238697052001953,3.601439996
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,9,64897,0.06189060211181641,4.014135832
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,10,48661,0.04640674591064453,4.429521652
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,11,36162,0.03448677062988281,4.857813150
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,12,26666,0.02543067932128906,5.297286189
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,13,19520,0.01861572265625000,5.747334568
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,14,14312,0.01364898681640625,6.195062328
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,15,10520,0.01003265380859375,6.639152916
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,16,7566,0.00721549987792969,7.114684939
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,17,5423,0.00517177581787109,7.595124545
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,18,3960,0.00377655029296875,8.048715285
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,19,2845,0.00271320343017578,8.525787063
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,20,1963,0.00187206268310547,9.061155543
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,21,1346,0.00128364562988281,9.605537305
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,22,935,0.00089168548583984,10.131177445
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,23,624,0.00059509277343750,10.714597781
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,24,388,0.00037002563476562,11.400087158
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,25,204,0.00019454956054688,12.327574658
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,26,103,0.00009822845458984,13.313499473
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,27,41,0.00003910064697266,14.642447995
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,28,14,0.00001335144042969,16.192645078
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,29,6,0.00000572204589844,17.415037499
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,30,1,0.00000095367431641,20.000000000
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,31,0,0.00000000000000000,inf
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,0,1048576,1.00000000000000000,-0.000000000
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,1,971059,0.92607402801513672,0.110800571
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,2,737089,0.70294284820556641,0.508520697
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,3,532231,0.50757503509521484,0.978306982
2,2,3,262144,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,4,385377,0.36752414703369141,1.444089054
