b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,0,1023543,0.97612667083740234,0.034859718
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,1,882287,0.84141445159912109,0.249111498
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,2,623081,0.59421634674072266,0.750939801
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,3,374835,0.35747051239013672,1.484103855
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,4,203473,0.19404697418212891,2.365522158
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,5,103913,0.09909915924072266,3.334983372
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,6,51246,0.04887199401855469,4.354848221
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,7,24548,0.02341079711914062,5.416682132
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,8,11476,0.01094436645507812,6.513667747
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,9,5280,0.00503540039062500,7.633677786
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,10,2501,0.00238513946533203,8.711710658
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,11,1214,0.00115776062011719,9.754447294
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,12,570,0.00054359436035156,10.845181891
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,13,285,0.00027179718017578,11.845181891
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,14,143,0.00013637542724609,12.840128663
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,15,68,0.00006484985351562,13.912537159
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,16,36,0.00003433227539062,14.830074999
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,17,21,0.00002002716064453,15.607682577
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,18,13,0.00001239776611328,16.299560282
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,19,6,0.00000572204589844,17.415037499
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,20,2,0.00000190734863281,19.000000000
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,post,21,0,0.00000000000000000,inf
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,0,1048576,1.00000000000000000,-0.000000000
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,1,1023543,0.97612667083740234,0.034859718
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,2,882287,0.84141445159912109,0.249111498
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,3,623082,0.59421730041503906,0.750937486
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,4,374835,0.35747051239013672,1.484103855
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,5,203473,0.19404697418212891,2.365522158
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,6,103913,0.09909915924072266,3.334983372
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,7,51246,0.04887199401855469,4.354848221
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,8,24548,0.02341079711914062,5.416682132
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,9,11476,0.01094436645507812,6.513667747
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,10,5280,0.00503540039062500,7.633677786
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,11,2501,0.00238513946533203,8.711710658
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,12,1214,0.00115776062011719,9.754447294
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,13,570,0.00054359436035156,10.845181891
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,14,285,0.00027179718017578,11.845181891
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,15,143,0.00013637542724609,12.840128663
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,16,68,0.00006484985351562,13.912537159
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,17,36,0.00003433227539062,14.830074999
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,18,21,0.00002002716064453,15.607682577
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,19,13,0.00001239776611328,16.299560282
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,20,6,0.00000572204589844,17.415037499
4,5,3,4096,2097152,1048576,cycle,15,shared,os-getrandom,random-old-and-new-paths,insertion,21,2,0.00000190734863281,19.000000000
